case_outcome,case_title,case_text
applied,Re Wilcox; Ex parte Venture Industries Pty Ltd and Others (No 2) (1996) 72 FCR 151,"Given the above facts, the Court considers that it should depart from the usual rule relating to the award of costs. It is just for AIA to receive costs on an indemnity basis in respect of the issues which the Court is satisfied were raised without any factual basis and those which were pursued falsely to the knowledge of the applicants. Since these matters largely occupied hearing time from 11 September 2007, in accordance with the principles in Re Wilcox; Ex parte Venture Industries Pty Ltd and Others (No 2) (1996) 72 FCR 151 at 156-158 and Amadio Pty Ltd and Another v Henderson and Others (1998) 81 FCR 149 at 258-259, the Court will order the applicants to pay indemnity costs to AIA from that date."
applied,Colgate-Palmolive Company v Cussons Pty Limited [1993] FCA 536 ; (1993) 46 FCR 225,"to s 43(1) of the Federal Court of Australia Act 1976 (Cth) the Court has a broad general discretion in determining how, in what manner, and whether, costs should be borne and paid as a result of the conclusion of any proceeding. The usual order for costs is that costs follow the event and are paid on a party/party basis unless there are special circumstances which warrant the making of some other order. However, it has long been established that the Court may award costs on a solicitor/client or indemnity basis where the particular circumstances of the case warrant the Court departing from the usual order of party/party costs: Colgate-Palmolive Company v Cussons Pty Limited [1993] FCA 536 ; (1993) 46 FCR 225. In Colgate-Palmolive Company v Cussons Pty Limited (supra), Sheppard J set out some of the circumstances which he considered had been thought to warrant the exercise of the discretion to make an order for payment of costs not on the usual basis of party/party costs but on the basis of indemnity costs. Those circumstances included ""an imprudent refusal of an offer to compromise""."
cited,Anderson v Commonwealth of Australia [1932] HCA 2 ; (1932) 47 CLR 50,"Defining private rights for this purpose is a distinct challenge (note Heydon JD ""Injunctions and Declarations"" in Stein LA (ed) Locus Standi (Law Book Company, 1979) at 38-39). Traditionally they have included proprietary and financial interests (Davies J in Alphapharm Pty Ltd v Smithkline Beecham (Australia) Pty Ltd (1994) 49 FCR 250 at 259, Nicholson J in Allan v Development Allowance Authority (1998) 80 FCR 583 at 598). The distinction between rights which are ""private rights"" enabling commencement of proceedings by way, for example, of declaratory and injunctive relief, and ""public rights"" the enforcement of which lay at the feet of the Attorney-General, has however blurred over time to permit individuals to bring proceedings where the individual suffers special damage peculiar to himself or herself from the interference with the public right: Boyce [1903] 1 Ch at 114. Although this principle has received recognition in Australian law note for example comments of Gavan Duffy CJ, Starke and Evatt JJ in Anderson v Commonwealth of Australia [1932] HCA 2 ; (1932) 47 CLR 50 at 52; Mason J in Robinson v Western Australian Museum (1977) 138 CLR 238 at 327; Australian Conservation Foundation 146 CLR per Gibbs J at 526-527, Stephen J at 537-538 and Mason J at 547; Onus v Alcoa of Australia Ltd [1981] HCA 50 ; (1981) 149 CLR 27 per Gibbs CJ at 35-36, Davis [1986] HCA 66 ; (1986) 68 ALR 18; Shop Distributive and Allied Employees Association v Minister for Industrial Affairs of the State of South Australia [1995] HCA 11 ; (1995) 183 CLR 552 at 558; Allan v Development Allowance Authority 80 FCR per Wilcox J at 586-87, Nicholson J at 598 giving effect to the principle raises difficulties in itself. (A useful summary of cases, and difficulties of application of relevant principles, as existed at the time can be found in Heydon in Stein (1979) at 38-40, 45-54.)"
cited,Darling Casino Limited v Minister for Planning and Sydney Harbour Casino Pty Ltd (1995) 86 LGERA 186,"A distinction is also to be drawn between, on the one hand, questions of severance which involve an excess of power so that the ultra vires portion of an instrument can be severed and the intra vires portion preserved and, on the other hand, a lack of power to make the whole instrument by reason of a failure to comply with the consultation provision in a statute ( Darling Casino Limited v Minister for Planning and Sydney Harbour Casino Pty Ltd (1995) 86 LGERA 186). As Pearlman CJ observed in Darling Casino at 207, if the power was improperly exercised, the instrument is invalid in its totality. It is no answer that part of it could have been validly made."
considered,Customs and Excise Commissioners v Mechanical Services (Trailer Engineers) Ltd [1979] 1 WLR 305,"The Commissioner sought to derive support for his contention from Hygienic Lily Ltd v Commissioner of Taxation (1987) 13 FCR 396. The question there was whether waxed paper cups used by McDonald's Restaurants were ""goods ... of a kind ordinarily used for household purposes"". Gummow J at 399 said: ""the setting in which the phrase 'goods of a kind' appears suggests it is directed not to the use for which the particular goods in question were designed or manufactured, nor to the purpose to which it is intended these particular goods shall be put, but rather to the nature, quality and adaptation of goods in the class or genus in question. Thus, goods are 'of a kind ordinarily used for household purposes' if they are to be recognised as members of a class or genus which commonly or regularly (albeit not necessarily exclusively or principally) is used for household purposes; cf Customs and Excise Commissioners v Mechanical Services (Trailer Engineers) Ltd (1979) 1 WLR 305, at 312-313, 315, 316-317."" At 400 his Honour pointed out that other items in the Schedule there in question directed attention not to goods identified by the purposes for which goods of that kind are ordinarily used, but to the goods in question themselves or to the identity or character of a particular user. He concluded that the cups were of a kind ordinarily used for household purposes because they were ""members of a class or genus (paper cups) which commonly or regularly (albeit not necessarily exclusively or principally) was used for household purposes (viz the carrying of beverages and the consumption thereof)"". 19 In Air International Hill J, dissenting, quoted with approval the decision of the Court of Appeal in Customs and Excise Commissioners v Mechanical Services (Trailer Engineers) Ltd [1979] 1 WLR 305, to which Gummow J had referred in Hygienic Lily . The question in the English case was whether couplings and winches were to be classified for value added tax purposes as ""Goods of a kind suitable for use as parts of goods within item 1 or item 5"". Hill J said at [28]: ""Brown LJ held that the words 'goods of a kind' referred to some class or category or genus of goods which had characteristics in common. That holding is generally consistent with the Australian sales tax cases referred to in Clean Investments."" Hill J then quoted with approval this passage from Megaw LJ's judgment (at 316-317): ""It is not 'the goods' the particular articles, here the couplings and the winch which have to be suitable for use as parts. It is the kind of goods to which these particular articles belong, their genus, which has to be thus suitable. The addition of 'of a kind', would be meaningless if goods which are themselves suitable are necessarily also goods of a kind which is suitable. The question is, first, what is the relevant 'kind of goods' of which they are members; and, secondly, is that kind of goods generically, suitable for use as parts of the goods comprised in items 1 and 5 of Group 3."""
considered,NMFM Property Pty Ltd v Citibank Ltd (No 11) [2001] FCA 480 ; (2001) 109 FCR 77,"respect of each of the offers upon which Flottweg relied, Olivaylle submitted that, even if it were a necessary conclusion flowing from my dismissal of the application that it was worse off than the position offered by those letters, there was no presumption flowing from this that costs taxed on an indemnity basis must be awarded. The importance afforded by Lindgren J in NMFM Property Pty Ltd v Citibank Ltd (No 11) [2001] FCA 480 ; (2001) 109 FCR 77 at 98, [88] to ""sufficient particularity"" in relation to an explanation for an offer and ""inevitability of failure"" was stressed. So, too, was stressed the need to remind myself that it was for Flottweg as offeror to show that the conduct of Olivaylle as offeree in rejecting any ""Calderbank"" offer was unreasonable, the application by Weinberg J in Alpine Hardwood (Aust) Pty Ltd v Hardys Pty Ltd (No 2) [2002] FCA 224 ; (2002) 190 ALR 121 at [35] of the Full Court's statement to this effect in Black v Lipovac [1998] FCA 699 ; (1998) 217 ALR 386 at [217] [218] being cited in support."
referred to,M55 v Minister for Immigration and Multicultural and Indigenous Affairs [2005] FCA 131,"Two other matters were raised by counsel for the respondent. Neither of these issues was referred to by the appellant. The first issue raised was whether the decision in Minister for Immigration and Multicultural Affairs v Al Shamry [2001] FCA 919 ; (2001) 110 FCR 27 applied in the present circumstances. Having regard to the cases referred to by counsel for the respondent, including the decisions of Gray J in M55 v Minister for Immigration and Multicultural and Indigenous Affairs [2005] FCA 131 ("" M55 v MIMIA"") and the decision of Jacobson J in NAZY v Minister for Immigration and Multicultural and Indigenous Affairs [2005] FCA 744 ( ""NAZY v MIMIA"") , I am persuaded that in the present case the material in the file which was before the Department was incorporated in the Application for Review to the RRT. 6 Counsel has also referred me to the recent decision of the Full Court in a number of cases including SZEEU v Minister for Immigration and Multicultural and Indigenous Affairs [2006] FCAFC 2 , which was handed down on 24 February 2006 after the decision of the Federal Magistrate in this matter. In my view, having looked at the reasons for judgment in that case, I am not persuaded that they vary the position in any way from the position taken in NAZY v MIMIA or in M55 v MIMIA . Accordingly, I do not consider that there is any basis for a contention that there has been a breach of s 424A."
referred to,Seven Network Ltd and Anor v News Ltd and Ors (No 2) [2005] FCA 1394 ; (2005) 148 FCR 1,"Seven Network Ltd and Anor v News Ltd and Ors (No 2) [2005] FCA 1394 ; (2005) 148 FCR 1 Sackville J said at [27]: '... it seems to me that unless the interests of justice require otherwise, this Court would ordinarily take the view that a non-party should have access to all non-confidential documents and other material admitted into evidence. I say 'ordinarily' because the circumstances of each case will vary and the exercise of the discretion under O 46, r 6 of the Rules will have to take into account the particular circumstances of the case. I agree ... that a convenient touchstone for determining the question of access by non-parties is whether the documents or other material have been admitted into evidence. In general, the application of this principle will serve the interests of open justice. In particular, access to the documentary evidence can be expected to be helpful to a person seeking to understand or explain the proceedings, or to evaluate the Court's determination of the issues arising in the proceedings ...' The above passage was approved by French J in Australian Securities and Investments Commission, in the matter of Richstar Enterprises Pty Ltd (ACN 099 071 968) v Carey (No 2) [2006] FCA 407 at [18] . 0 I agree with Rares J in Llewellyn that the approach adopted in the Supreme Court of New South Wales, in which different rules apply, is different from the approach adopted by the rules of this Court: see at [21] and [22] of his Honour's judgment. Pursuant to O 46 r 6(1) of the Federal Court Rules , a non-party will generally be entitled to access the pleadings. Accordingly I do not consider the comments of Santow J in eisa Ltd v Brady and Ors [2000] NSWSC 929 at [20] are applicable to this Court in so far as they apply to pleadings. However, in respect of affidavit material which has not been read in Court, the comments of Santow J in respect of affidavits accord with the principle outlined by Sackville J in Macquarie Radio and Seven Network ."
discussed,Derby &amp; Co Ltd v Weldon (Nos. 3 and 4) [1990] 1 Ch 65,"The contention of the applicant in the present case that the Court could debar the respondents from defending the proceeding, and strike out their defences, is based on a comment of Lord Donaldson of Lymington MR in Derby &amp; Co Ltd v Weldon (Nos. 3 and 4) [1990] 1 Ch 65 at 81. In that case, the English Court of Appeal was considering whether it was appropriate for a court to grant a Mareva -type injunction in respect of assets beyond the jurisdiction of the court. Relevant to that question was the question whether such an injunction could be enforced in any event. The Master of the Rolls said: 'in the context of the grant of the Mareva injunction, I think that a sufficient sanction exists in the fact that, in the event of disobedience, the court could bar the defendant's right to defend. This is not a consequence which it could contemplate lightly as it would become a fugitive from a final judgment given against it without its explanations having been heard and which might well be enforced against it by other courts.' Neill LJ at 87 and Butler-Sloss LJ at 96 expressed agreement with the judgment of the Master of the Rolls. Each went on to deal with the issues in the case, with Neill LJ at 95 expressing specific agreement with what the Master of the Rolls had said about enforceability. Butler-Sloss LJ did not comment specifically on that issue. It is unnecessary in the present case to debate the question whether barring the right to defend a proceeding falls within the range of penalties the Court could impose for contempt of court. Order 35A of the Federal Court Rules contains specific provisions about the powers of the Court in the event of default of a party in complying with an order. Order 35A r 2(2)(d) provides that a respondent is in default by failing to comply with an order of the Court in a proceeding. Order 35A r 3(2)(c) provides that, if a respondent is in default, the Court may: 'if the proceeding was commenced by an application supported by a statement of claim or the Court has ordered that the proceeding continue on pleadings -- give judgment against the respondent for the relief that: (i) the applicant appears entitled to on the statement of claim; and (ii) the Court is satisfied it has power to grant'. Order 35A r 3(2)(d) also provides that, if a respondent is in default, the Court may give judgment or make any other order against the respondent. Order 35A r 4 specifically provides that O 35A does not limit the power of the Court to punish for contempt. It must be the case, however, that, if the Court exercises its power to give judgment against a respondent, on the ground that the respondent has failed to comply with an order of the Court, and the giving of judgment has significant consequences for the respondent, those consequences could be taken into account as factors mitigating the exercise of the Court's powers to punish for contempt. 52 The contempt in this case is a serious one. It involved a significant sum of money, $73 987.57. As I have said, Ms Bell was well aware that an injunction had been granted, restricting her freedom of action in relation to the sale of the Mariners Place property, and her freedom of action to deal with the proceeds of sale if a sale were effected. She chose not to have regard to the terms of that order. She preferred to satisfy her obligations, or perceived obligations, and to spend the money for her own purposes, instead of complying with the injunction. In short, she preferred her own interests, and even her own whims, to her duty to comply with the injunction. The effect of the contempt on the administration of justice is also of major significance. If Ms Bell had complied with the injunction, the applicant would have been secure in the knowledge that he could bring the proceeding to its conclusion and, if he were to be successful, there would be a substantial asset available to satisfy the judgment and to augment the estate of the bankrupt, for the benefit of the bankrupt's creditors. There is now a powerful disincentive to the applicant in proceeding to a conclusion, because the execution of any judgment is much less likely to prove fruitful. This consequence can be ameliorated to some extent by exercising the power to give judgment summarily against Ms Bell, thereby saving the applicant from the need to expend further costs in the proceeding, but it still renders the proceeding largely fruitless for the applicant if, as appears to be the case, Ms Bell has no means of satisfying a judgment. The effect of the contempt, therefore, is to tilt the balance in the litigation heavily against the applicant. 53 There can be little doubt that a contempt of this magnitude, coupled with the degree of culpability of Ms Bell (amounting to wilful blindness as to the terms of the order, as I have said, and to preferring to satisfy her own needs and desires) would warrant a significant term of imprisonment. Only if there are powerful mitigating factors would it be appropriate to consider a course other than imprisonment as a minimum step. It is therefore necessary to turn to the mitigating factors. 54 Ms Bell claims that she did not understand the nature of the order and therefore that she did not intend to commit a breach of it or to demonstrate any disrespect for the Court. She has expressed her contrition for her failure to comply, and has apologised to the Court. I accept that she did not in fact understand the terms of the order, although they had been explained to her by her then counsel, and she was in possession of a copy of the order. Although I do not consider that the order is a particularly complex one, I can accept that legal terminology and drafting techniques can make an order less than wholly comprehensible to some people. 55 The fact is, however, as I have found, that Ms Bell did not pay any heed to the order at all. She did not take the trouble to read it in the context of the conduct of the auction of the Mariners Place property, or in the context of her disposal of the proceeds of sale. She did not provide the agent responsible for the sale, or the auctioneer, with the copy of the order that she had, either for the purpose of guiding their conduct, or for the purpose of seeking guidance from them as to her own. She did not seek advice from Kelly &amp; Chapman, who were then acting for her in the principal proceeding. She simply decided not to have regard to the order. Even when her contravention of it was pointed out to her, she took no immediate steps to remedy the contravention. Her initial explanation, in her affidavit of 21 September 2006, was anything but frank as to what had happened to the proceeds. It was necessary for me to make a further order on 25 September 2006, requiring Ms Bell to make an affidavit, explaining specifically the manner in which the sum of $73 987.57 had been expended. Even then, in her affidavit of 9 October 2006, she was vague about a number of the payments she had made. Both of these affidavits were prepared by her without legal assistance, which is a partial explanation for their inadequacy. Even when she swore her affidavit of 18 December 2006, prepared with the assistance of her pro bono lawyers, no further detail was provided. Only in her oral evidence, and under cross-examination, was further detail about the payments obtained. Her expression of contrition and her formal apology to the Court only came about after she had received the advice of her counsel as to the seriousness of her position."
cited,George Biritz v National Australia Bank Limited [1995] VSC 91,"legal principles emerging from Dobbs [1935] HCA 49 ; (1935) 53 CLR 643 have been largely confined to circumstances where a banker's certificate has been issued as to the amount of indebtedness of a debtor to the bank (for example Dobbs [1935] HCA 49 ; (1935) 53 CLR 643 , Je Maintiendrai Pty Ltd v Australia and New Zealand Banking Group Ltd (1985) 128 SASR 70, Campbell v National Australia Bank Ltd [1994] SASC 4526 , Equus Financial Services Limited v Sabri [1994] FCA 1331 , George Biritz v National Australia Bank Limited [1995] VSC 91 , Shomat v Rubenstein (1995) 124 FLR 284 , Thurwood v First for Finance Pty Ltd [1997] FCA 559 , Australia &amp; New Zealand Banking v Pan Foods Company Importers &amp; Distributors Pty Ltd [1998] VSC 346 , Jenkins v National Australia Bank Ltd [1999] VSCA 33 , State Bank v Lo [2000] NSWSC 1191 , State Bank of NSW v Kit Cheng Chia [2000] NSWSC 552 , Australia and New Zealand Banking Group Ltd v Dzienciol [2001] WASC 305 , Julong Pty Ltd v Fenn [2002] QCA 529 , Apple Computer [2003] NSWSC 126 , Commonwealth Bank of Australia v Bouwman [2003] WASC 205 , Timms v Commonwealth Bank of Australia [2004] NSWSC 76 , Permanent Trustee Company Limited v Gulf Import and Export Company [2008] VSC 162). Since and possible because of Dobbs [1935] HCA 49 ; (1935) 53 CLR 643 , bankers' certificates have become well-known in practice. That is not to say that the principle articulated in Dobbs [1935] HCA 49 ; (1935) 53 CLR 643 has not been extended beyond the banker/customer/surety relationship, however circumstances in which the Dobbs [1935] HCA 49 ; (1935) 53 CLR 643 principle is applicable are primarily confined to those involving the issue of a certificate as to the existence of a fact pursuant to legislation, or certain types of agreement, for example:"
cited,Australian Prudential Regulation Authority v Siminton (No 6) [2007] FCA 1608,"On 26 October 2007 I delivered judgment in this proceeding: see Australian Prudential Regulation Authority v Siminton (No 6) [2007] FCA 1608. I found that Mr Siminton was a person who had carried on and was proposing to carry on the business of banking in Australia and that such conduct constituted or would constitute a contravention of s 7 of the Banking Act 1959 (Cth) (""the Act ""). I also found that Mr Siminton had engaged in conduct which contravened s 66 of the Act . I foreshadowed making injunctive orders to restrain Mr Siminton from engaging in further contraventions of the Act and orders appointing a receiver to identify the persons who had made deposits in the ""bank"" established by Mr Siminton, to get in the funds which were the subject of an order, made by Gray J on 10 January 2006, and to provide for an orderly and equitable distribution of those funds to depositors. I listed the matter for mention on 7 November 2007. On that day I made the foreshadowed orders."
cited,Challenger Life Limited [2004] FCA 618,"Court has said that the granting of a dispensation under s 17C(5) (or its analogue in the Life Insurance Act 1995 (Cth), s 191(5)) is a ""matter of considerable importance and should not be regarded as a matter of course"": Munich Reinsurance Company of Australasia Limited [2004] FCA 1391 at [4] , per Tamberlin J. See also Challenger Life Limited [2004] FCA 618 ( Challenger Life Limited ) at [2]-[3], per Gyles J. This is because, as Sackville J stated in The Application of Commonwealth Life Ltd &amp; Anor [2003] FCA 501 ( Commonwealth Life Ltd ) at [8]: Clearly enough, the policy underlying the statutory requirement ... is to give every affected policyholder a summary of the scheme and, an opportunity, if he or she so desires, to make submissions to the Court in respect of any application for confirmation of the scheme. A right to be heard in relation to a proposed scheme may be of little value if a person does not know of the proposal. The fact that additional steps will be taken to draw the scheme to the attention of the affected policyholders (see [33]-[36] above) has been held to be a factor favouring the granting of a dispensation under s 17C(5) (or the equivalent provision of the Life Insurance Act 1995 ) in several cases, including GIO Personal Investment Services Ltd at [18], Commonwealth Life Ltd at [6] and [10], Challenger Life Limited at [5], and Calliden Group Limited at [62]. Fifth, APRA does not oppose the making of the order. The fact that APRA, which is charged with the responsibility of protecting the interests of policyholders, has raised no objection has been said to be a matter in favour of a dispensation: see, eg Commonwealth Life Ltd at [6] and [10], Challenger Life Limited at [5]; Calliden Group Limited at [62]."
cited,Registrar of Aboriginal Corporation v Murnkurni Women's Aboriginal Corporation (1995) 58 FCR 125,"J's decision was considered by Nicholson J in Registrar of Aboriginal Corporation v Murnkurni Women's Aboriginal Corporation (1995) 58 FCR 125 at 127-128. His Honour's reasons do not shed much light on the reason behind the respondent's failure to appear in that case, though it is apparent that the applicant had obtained an order for substituted service which was, as was accepted by the respondent in that case, properly effected. His Honour went on to say: It may not be that the dicta of Hodgson J in Kizkot and the principles relied upon for Murnkurni are necessarily in conflict. All that Hodgson J required was evidence which ""indicates"" solvency. He did not say that solvency was to be established as a fact. Certainly he must have accepted there should be evidence which indicates solvency in the sense of showing it to be arguable that the company was solvent. In my opinion the effect of the authorities is to require this Court to consider whether there is an arguable defence which in turn requires the Court to consider whether solvency is arguable. ... For the reasons given I consider that both the solvency and other aspects are arguable and that, accordingly, the application to set aside the order pursuant to FCR O 35, r 7(2)(a) should be granted."
cited,Western Australia v Ward [2002] HCA 28 ; (2002) 213 CLR 1,"In contrast, in the case before me the HREOC Act and the DD Act (including the Disability Standards formulated pursuant to s 31) provide a scheme which allows ""a person aggrieved"" by alleged unlawful discrimination - including, as I have already noted, conduct deemed unlawful by s 32 DD Act - to lodge a complaint with HREOC (s 46P HREOC Act); and in the event that the complaint is terminated, a person affected by the termination to make application to the Federal Court or the Federal Magistrates Court (s 46PO HREOC Act). Significantly, the HREOC Act also creates a specific structure sanctioning applications to the Court for remedies where the Court is satisfied that there has been unlawful discrimination, including payment of damages by the respondent, employment or re-employment an applicant, an order declaring that the respondent has committed unlawful discrimination and directing the respondent not to repeat or continue such unlawful discrimination as is sought in this case (s 46PO(4) HREOC Act). Indeed the point of the statutory scheme as constituted in this case by the HREOC Act and the DD Act is to make laws with respect to discriminatory conduct, and to allow those who are aggrieved by discriminatory conduct, personal rights to seek redress in respect of such conduct. To adopt the language of the majority of the High Court in Re East, ex parte Nguyen 196 CLR at 365, repeated in Western Australia v Ward [2002] HCA 28 ; (2002) 213 CLR 1 at 96, The elaborate and special scheme...was plainly intended by the Parliament to provide the means by which a person aggrieved by a contravention ... might obtain a remedy, and thus was regarded by Parliament as fulfilling Australia's treaty obligations, bearing always in mind the legal structure and system which formed the context in which the [legislation] was to operate. (That those comments were in respect of the legislation as it stood prior to amendments, and the removal of provisions from the HREOC Act into the DD Act and other statutes, does not in any way minimise their relevance. As observed, in my view correctly, by Nicholson J in Bropho v State of Western Australia [2004] FCA 1209 at [26] - [29] and [51]-[52], they are equally applicable to the scheme as it presently exists.)"
referred to,Jianshe Southern Pty Ltd v Turnbull Cooktown Pty Ltd [2007] FCA 489,"I will not recite the details of all the interlocutory steps taken in the proceedings. However, two should be mentioned. On 4 April 2007 I refused an application by the applicant for summary judgment on part of its claim: Jianshe Southern Pty Ltd v Turnbull Cooktown Pty Ltd [2007] FCA 489. In May 2007 I dealt with an application by the respondents for a stay or dismissal of the proceedings by reason of non-compliance by the applicant with various orders of the Court. The details of the application are set out in my reasons on a question of costs: Jianshe Southern Pty Ltd v Turnbull Cooktown Pty Ltd (No 2) [2007] FCA 903."
cited,Victorian Chamber of Manufactures v The Commonwealth [1943] HCA 19 ; (1943) 67 CLR 335,"Tenth, to the extent that incorporated associations are bodies corporate which may sue or be sued in their own name, in assessing the interests of a body corporate the interests of its members are arguably irrelevant. So in Victorian Chamber of Manufactures v The Commonwealth [1943] HCA 19 ; (1943) 67 CLR 335 at 343 Starke J, without needing to decide the point, observed that an infringement of the rights of members of an incorporated body does of itself mean that the rights of the incorporated body are infringed, or that the incorporated body has standing to maintain an action (cf Lockhart J in Right to Life 56 FCR at 253 and Nicholson J in Defence Coalition against RCD Inc v Minister for Primary Industries and Energy (1997) 74 FCR 142). This may be distinguished from the position concerning unincorporated associations. A useful illustration of this point in this context is Scully 79 FCR 537, where an unincorporated association commenced proceedings under the Racial Discrimination Act 1975 (Cth) (in its then form), Wilcox J said: I agree with Commissioner Nettlefold that, as Executive Council for Australian Jewry is not a ""person"" in the eyes of the law, it is incapable of being a 'person aggrieved' within the meaning of s 22(1) of the Racial Discrimination Act . Therefore it is not itself a competent complainant. However, this does not mean its complaint is a nullity. It is necessary to go behind the name and consider whether the juristic persons who constitute the unincorporated association are 'persons aggrieved' by the allegedly unlawful act. If they are, the complaint is competent in law, though not in name, as it was made by them. (at 548) 59 Second, there is substantial body of authority, to which I have already referred, that the interests of members of a body corporate do not equate with the interests of the body corporate: Victorian Chamber of Manufactures [1943] HCA 19 ; 67 CLR 335, Right to Life 56 FCR 50, Defence Coalition against RCD 74 FCR 142."
followed,Project Blue Sky Inc v Australian Broadcasting Authority [1998] HCA 28 ; (1998) 194 CLR 355,"In Project Blue Sky Inc v Australian Broadcasting Authority [1998] HCA 28 ; (1998) 194 CLR 355 at 381-382 [69] - [71] McHugh, Gummow, Kirby and Hayne JJ said: '[69] The primary object of statutory construction is to construe the relevant provision so that it is consistent with the language and purpose of all the provisions of the statute (see Taylor v Public Service Board (NSW) [1976] HCA 36 ; (1976) 137 CLR 208 at 213 per Barwick CJ). The meaning of the provision must be determined ""by reference to the language of the instrument viewed as a whole"" ( Cooper Brookes (Wollongong) Pty Ltd v Federal Commissioner of Taxation [1981] HCA 26 ; (1981) 147 CLR 297 at 320, per Mason and Wilson JJ. See also South West Water Authority v Rumble's [1985] AC 609 at 617, per Lord Scarman, ""in the context of the legislation read as a whole"".). In Commissioner for Railways (NSW) v Agalianos ((1955) 92 CLR 39), Dixon CJ pointed out that ""the context, the general purpose and policy of a provision and its consistency and fairness are surer guides to its meaning than the logic with which it is constructed"". Thus, the process of construction must always begin by examining the context of the provision that is being construed ( Toronto Suburban Railway Co v Toronto Corporation [1915] AC 590 at 597; Minister for Lands (NSW) v Jeremias [1917] HCA 41 ; (1917) 23 CLR 322 at 332; K &amp; S Lake City Freighters Pty Ltd v Gordon &amp; Gotch Ltd [1985] HCA 48 ; (1985) 157 CLR 309 at 312, per Gibbs CJ; at 315, per Mason J; at 321, per Deane J). [70] A legislative instrument must be construed on the prima facie basis that its provisions are intended to give effect to harmonious goals ( Ross v The Queen [1979] HCA 29 ; (1979) 141 CLR 432 at 440, per Gibbs J). Where conflict appears to arise from the language of particular provisions, the conflict must be alleviated, so far as possible, by adjusting the meaning of the competing provisions to achieve that result which will best give effect to the purpose and language of those provisions while maintaining the unity of all the statutory provisions (see Australian Alliance Assurance Co Ltd v Attorney-General (Q) [1916] St R Qd 135 at 161, per Cooper CJ; Minister for Resources v Dover Fisheries Pty Ltd (1993) 43 FCR 565 at 574, per Gummow J). Reconciling conflicting provisions will often require the court ""to determine which is the leading provision and which the subordinate provision, and which must give way to the other"" ( Institute of Patent Agents v Lockwood [1894] AC 347 at 360, per Lord Herschell LC). Only by determining the hierarchy of the provisions will it be possible in many cases to give each provision the meaning which best gives effect to its purpose and language while maintaining the unity of the statutory scheme. [71] Furthermore, a court construing a statutory provision must strive to give meaning to every word of the provision ( The Commonwealth v Baume [1905] HCA 11 ; (1905) 2 CLR 405 at 414, per Griffith CJ; at 419, per O'Connor J; Chu Kheng Lim v Minister for Immigraiton Local Government &amp; Ethnic Affairs [1992] HCA 64 ; (1992) 176 CLR 1 at 12-13,, per Mason CJ). In The Commonwealth v Baume ((1905) [1905] HCA 11 ; 2 CLR 405 at 414) Griffith CJ cited R v Berchet ((1688) 1 Show KB 106 [89 ER 480]) to support the proposition that it was ""a known rule in the interpretation of Statutes that such a sense is to be made upon the whole as that no clause, sentence, or word shall prove superfluous, void, or insignificant, if by any other construction they may all be made useful and pertinent"".' 46 Their Honours held (194 CLR at 384 [78]) that the duty of the court is to give the words of a statutory provision the meaning which the legislature is taken to have intended them to have. 47 In ascertaining what meaning the differing expressions in ss 290(2)(c) and 312(1)(e) were taken by the Parliament to have, it is important to bear in mind that each section is concerned with the impact which a conviction may have upon the Authority's performance of its functions in relation to the registration of a migration agent. First, s 290(2)(c) appears in the principal provision dealing with the function of registration, which is an annual event for every migration agent. Secondly, s 312(1)(e) is relevant to the ongoing function of the Authority under s 303 pursuant to which it has a discretion to cancel or suspend the registration of a migration agent or to caution him or her. The occasion for the exercise of that discretion arises if the Authority is satisfied, inter alia, that: '303 ... (f) the agent is not a person of integrity or is otherwise not a fit and proper person to give immigration assistance;' 48 The evident purpose of s 312 is to cast an obligation on the migration agent to notify the Authority of the events there enumerated so that the Authority can consider whether to revisit, pursuant to s 303 and the scheme of natural justice in Part 3 of Division 3 of the Act, the question of registration. Thus under s 312(1)(a) the migration agent's bankruptcy must be notified and s 303(e) makes bankruptcy a matter which enlivens the Authority's powers to cancel or suspend the migration agent's registration or to caution him or her. And, s 290(2)(g) requires the Authority to take into account an applicant's bankruptcy at any time in considering whether to register him or her as a migration agent. 49 Additionally, s 312(1) deals with events which occur after registration but which, had they occurred beforehand, would have been relevant for the Authority's consideration in deciding whether to register the person as a migration agent. However, it is important in construing these provisions to consider the fact that a contravention of s 312(1) is an offence of strict liability (s 312(2)), while s 290 creates no offence. 59 Gleeson CJ and Gummow J (200 CLR at 397 [25]) held that the term 'law of the Commonwealth' in s 80 of the Constitution refers to laws made under legislative powers of the Commonwealth. They held that an obligation or liability which had its source in the Constitution itself did not arise under a law of the Commonwealth. They continued (200 CLR at 397 [25]): 'The fact that there are laws made by the Parliament which are declaratory of the power implicit in Ch III of the Constitution or which make provision under s 51(xxxix) of the Constitution incidental to the exercise of that power does not bring the case within s 80. ' Hayne J agreed with Gleeson CJ and Gummow J (200 CLR at 428 [108], 429 [113])."
followed,"SZBYR v Minister for Immigration and Citizenship [2007] HCA 26 , 81 ALJR 1190","Neither the witness's evidence nor the letter constituted "" information "" for the purposes of s 424A of the 1958 Act: SZBYR v Minister for Immigration and Citizenship [2007] HCA 26 at [17] , [2007] HCA 26 ; 81 ALJR 1190. And, even if it did constitute "" information "", the evidence and the letter fell within the exception in s 424A(3)(b), namely "" information ... that the applicant gave for the purpose of the application "": cf SZIAT v Minister for Immigration &amp; Citizenship [2008] FCA 766 at [39] per Gordon J."
